Search_term,gse,title,summary,overall_design,gpl,sample_number,type,pubmed_id
Alzheimers Disease,GSE62003,Blood methylomic signatures of pre-symptomatic dementia in elderly subjects with Type 2 Diabetes Mellitus,"Due to an increasingly aging population, the incidence of dementias such as Alzheimer’s disease are steadily rising, with recent estimates predicting >115million dementia sufferers by 2050.   The ability to identify early markers in blood, which appear before the onset of clinical symptoms is of considerable interest to allow early intervention, particularly in “high risk” groups such as those with Type 2 Diabetes (T2D). Here we present longitudinal genome-wide DNA methylation data comparing 18 elderly individuals with T2D who developed pre-symptomatic dementia within an 18 month period following baseline assessment to 18 age, sex and education matched controls who maintained normal cognitive function. We identified a highly significant overlap in the effect size of the top-ranked methylation sites at baseline and follow-up, and identified 10 robust loci, some of which have been previously related to neurodegenerative processes, which were consistently differentially methylated prior to symptoms at baseline, and at 18 month follow up, when a diagnosis of pre-symptomatic dementia had been provided. Finally we show a significant overlap in the effect size of the top-ranked methylation sites in converters, only after they develop symptoms of pre-symptomatic dementia, with changes at the same loci in blood samples from patients with clinically-diagnosed Alzheimer’s disease.","18 elderly individuals with T2D who developed pre-symptomatic dementia within 18 months following baseline assessment and 18 age, sex and education matched controls who maintained normal cognitive function",GPL13534,70,Methylation profiling by genome tiling array,NA
Alzheimers Disease,GSE63617,"Gene expression profiling of the AD11 anti-NGF transgenic mouse model of neurodegeneration at 1, 3, 6, 15 months of age","We characterized the gene expression profile of brain regions at different stages of the Alzheimer’s like neurodegeneration in the anti-NGF AD11 trangenic mouse model. Total RNA was extracted from hippocampus, cortex and basal forebrain of postnatal day 30 (P30, 1 month), P90 (3 months), P180 (6 months)  and at 15 months of age. Expression profiles were studied by Agilent microarray analysis, followed by qRT-PCR validation of significant candidates. Wide changes in gene expression profiles occur already at the presymptomatic stage P30, with the most significantly affected clusters of mRNAs are linked to Inflammation and Immune Response.","AD11 mice were compared to the trangenic VH controls. A total of 60 female AD11 mice and 59 female control VH (5 per group) mice were used for this study: 5 AD11 and 4-5 control VH mice for each time point (1,3,6,15 months of age) and brain area (HP, CTX, BFB).","GPL7042, GPL7202",119,Expression profiling by array,19604602
Alzheimers Disease,GSE55452,Age-dependent changes in phosphorylation of signaling molecules in brain tissues of Alzheimer's disease (AD) model mice,"To demonstrate the utility of the newly developed dendron-coated phosphokinase antibody array(DPA) in which the antibodies are immobilized on a dendron-coated glass slide, the phosphorylation profiles of brain tissue samples obtained from Alzheimer's disease (AD) model mice were generated.","The phosphorylation profiles were generated from four conditions of mice brain tissues; normal at the age of 2month, AD at the age of 2month, normal at the age of 6month and AD at the age of 6month. For each conditions, the profiling was done with three biological replicates (n=3).",GPL18350,12,Protein profiling by protein array,24802362
Alzheimers Disease,GSE57181,In vivo response of microglia to Aß and prostaglandin-E2 EP2 receptor signaling,"Microglia, the innate immune cells of the central nervous system, perform critical inflammatory and non-inflammatory functions to maintain homeostasis and normal neural function.  However in Alzheimer’s disease (AD), these beneficial functions become progressively impaired, contributing to synapse and neuron loss and cognitive impairment. The inflammatory cyclooxygenase-PGE2 pathway, including the PGE2 receptor EP2, is implicated in AD development, both in human epidemiology and in transgenic models of AD.;To test the transcriptional responses of EP2-deficient microglia to Aß in vivo, we used mice in which the EP2 receptor is conditionally deleted in microglia using the CD11b-Cre transgene and floxed alleles of the EP2 gene. By injecting these mice with Aß ICV and isolating microglia from the brains, we have been able to establish the transcriptional response of microglia to Aß in vivo and test how EP2 deletion in microglia affects this response.","8 month-old C57BL/6 mice, of the genotype CD11b-Cre; EP2+/+ or CD11b-Cre; EP2lox/lox, were injected I.C.V. with either Aß or vehicle. 48 hours after injection, the mice were sacrificed and transcardially perfused with cold heparinized 0.9% NaCl. Brains were then removed from the mice and pooled, two brains of the same genotype per sample, to ensure adequate cell and RNA yield. The brains were then enzymatically dissociated for microglia isolation using the Neural Tissue Dissociation Kit (P), MACS Separation Columns (LS), and magnetic CD11b Microbeads from Miltenyi Biotec according to the manufacturer's protocol. Immediately after isolating the microglia, RNA was extracted from the cells for microarray analysis.",GPL16570,17,Expression profiling by array,25485684
Alzheimers Disease,GSE65159,Conserved epigenomic signatures between mouse and human elucidate immune basis of Alzheimer's disease,"Alzheimer’s disease (AD) is a severe1 age-related neurodegenerative disorder characterized by accumulation of beta-amyloid (Aß) plaques and neurofibrillary tangles, synaptic and neuronal loss, and cognitive decline.  Several genes have been implicated in AD, but chromatin state alterations during neurodegeneration remain uncharacterized.  Here, we profile transcriptional and chromatin state dynamics across early and late pathology in the hippocampus of an inducible mouse model of AD-like neurodegeneration.  We find a coordinated downregulation of synaptic plasticity genes and regulatory regions, and upregulation of immune response genes and regulatory regions, which are targeted by factors that belong to the ETS family of transcriptional regulators, including PU.1.  Human regions orthologous to increasing-level enhancers show immune cell-specific enhancer signatures as well as immune cell expression quantitative trait loci (eQTL), while decreasing-level enhancer orthologs show fetal brain specific enhancer activity.  Surprisingly, AD-associated genetic variants are specifically enriched in increasing-level enhancer orthologs implicating immune processes in AD predisposition.  Indeed, increasing enhancers overlap known AD loci lacking protein-altering variants and implicate additional loci that do not reach genome-wide significance.  Our results reveal new insights into the mechanisms of neurodegeneration and establish the mouse as a useful model for functional studies of AD regulatory regions.",We profiled gene expression levels through RNA-Seq and histone mark levels through ChIP-Seq to compare control mice to the CK-p25 Alzheimer's disease model at 2 weeks and 6 weeks after induction of neurodegeneration.,GPL13112,36,Expression profiling by high throughput sequencing;Genome binding/occupancy profiling by high throughput sequencing,NA
Alzheimers Disease,GSE65851,Beta Amyloid toxicity in a Caenorhabditis elegans model of Alzheimer's disease,"Transgenic animals were engineered to express human amyloid peptide controlled by a muscle-specific, heat-inducible promoter. At low temperatures (16°C) Abeta expression is minimal, while at higher temperatures (20-25°C) Abeta accummulates in large quantities and causes paralysis.;GFP- and GFP::degron (a toxic aggregating GFP mutant)-expressing animals were used as controls.","Animals were grown at 16°C till early 3rd larval stage and then upshifted to 25°C. Animals were harvested at the time of upshift (T0), and every 4 hours later until 20 hours postupshift (T4-T20).",GPL200,47,Expression profiling by array,NA
Alzheimers Disease,GSE55173,A Human Model of Cerebral Amyloid Angiopathy Using Neural Crest-Derived Vascular Smooth Muscle Cells,"There is a growing recognition of cerebrovascular contribution to neurodegenerative diseases. Cerebral amyloid angiopathy (CAA), characterised by amyloid-beta (Aß) deposits in the walls of intracerebral and leptomeningeal arteries, is evident in a majority of Alzheimer’s disease patients and aged people. Here, we leverage on human pluripotent stem cells to generate vascular smooth muscle cells (SMCs) from neural crest progenitors, recapitulating brain vasculature-specific attributes in Aß metabolism. We confirm that the lipoprotein receptor, LRP1, functions in our neural crest-derived SMCs to mediate Aß uptake and intracellular proteasomal degradation. Hypoxia significantly compromises the ability of SMCs in Aß clearance by suppressing LRP1 expression. This enables us to develop an assay of Aß uptake using the neural crest-derived SMCs with hypoxia as a stress paradigm. We then tested several vascular protective compounds in a high throughput format, demonstrating the value of stem cell-based phenotypic screening for novel CAA therapeutics and drug repurposing.","We adopted our previous SMC differentiation protocol (Cheung et al., 2012) to differentiate this intermediate neural crest population using platelet-derived growth factor BB (PDGF-BB, 10 ng/ml) and transforming growth factor-beta 1 (TGF-ß1, 2ng/ml) for another 12 days. The resultant neural crest-derived SMCs (NCSMC) were then characterised in comparison to neuroectoderm-derived SMCs (NESMC) (Cheung et al., 2012) and positive control, human brain vascular SMCs (BVSMC).",GPL10904,12,Expression profiling by array,25284792
Alzheimers Disease,GSE39420,Gene expression profile of sporadic and PSEN1 early-onset Alzheimer’s Disease,"Alzheimer’s disease (AD) is the most common neurodegenerative dementia. Around 10% of cases present an age of onset before 65 years-old, which in turn can be divided in monogenic or familial AD (FAD) and sporadic early-onset AD (EOAD). Mutations in PSEN1, PSEN2 and APP genes have been linked with FAD. The aim of our study was to describe the brain whole-genome RNA expression profile of the posterior cingulate area in EOAD and FAD caused by PSEN1 mutations (FAD-PSEN1). 14 patients (7 EOAD and 7 FAD-PSEN1) and 7 neurologically healthy controls were selected and samples were hybridized in a Human Gene 1.1 microarray from Affymetrix. When comparing controls with EOAD and controls with FAD-PSEN1, we found 3183 and 3351 differentially expressed genes (DEG) respectively (FDR corrected p<0.05). However, any DEG was found in the comparison of the two groups of patients. Microarrays were validated through quantitative-PCR of 17 DEG. In silico analysis of the DEG revealed an alteration in biological pathways related to calcium-signaling, axon guidance and long-term potentiation (LTP), among others, in both groups of patients. These pathways are mainly related with cell signalling cascades, synaptic plasticity and learning and memory processes. In conclusion, the altered biological final pathways in EOAD and FAD-PSEN1 are highly coincident. Also, the findings are in line with those previously reported for late-onset AD (LOAD, onset >65 years-old), which implies that the consequences of the disease at the molecular level are similar in the final stages of the disease.","21 Samples were analyzed: 7 controls, 7 Early-onset Alzheimer's disease (AD) patients and 7 early-onset AD genetically determined by a mutation in PSEN1 gene.",GPL11532,21,Expression profiling by array,23369545
Alzheimers Disease,GSE46221,Increase in membrane cholesterol of neurons in culture recapitulates Alzheimer’s disease early phenotypes.,"Levels of membrane-associated cholesterol were shown to be increased in the brain of individuals with sporadic Alzheimer’s disease (AD) and correlated with the severity of the disease. We previously found that heavy membrane cholesterol burden promotes amyloid precursor protein (APP) endocytosis and processing, leading to increased amyloid-<U+F062><U+F020><U+F028>A<U+F062>) secretion. We hypothesized that such an increase of cholesterol could trigger sporadic AD. We thus acutely loaded the plasma membrane of neurons in culture with cholesterol to reach the 30 % increase observed in AD brains. We showed by multiplex electro-chemiluminescence immuno-assay that transient membrane cholesterol loading produced a significant increase of A<U+F062>42 secretion. We also found that early endosomes were enlarged and more prone to aggregation using confocal and electron microscopy and that APP vesicular transport in neuronal processes was slowed down using fluorescence live-imaging. In addition, treatment of neurons with cholesterol induced changes in gene expression profile that are reminiscent of early AD. This model of membrane cholesterol increase in cultured neurons reproduces most of early AD changes and could thus be relevant for deciphering early mechanisms and design new targets for sporadic AD.","In this study, we loaded the plasma membrane of neurons with 30% more cholesterol and observed the effects on gene expression. We compared gene expression of primary hippocampal neurons treated or not with  cholesterol using 4 independant replicates in each group.",GPL4135,8,Expression profiling by array,25524049
Alzheimers Disease,GSE40418,p53 prevents neurodegeneration by regulating synaptic genes,"DNA damage has been implicated in neurodegenerative disorders, including Alzheimer’s disease and other tauopathies, but the consequences of genotoxic stress to postmitotic neurons are poorly understood. Here we demonstrate that p53, a key mediator of the DNA damage response, plays a neuroprotective role in a Drosophila model of tauopathy. Further, through a whole-genome ChIP-chip analysis we identify genes controlled by p53 in postmitotic neurons. We genetically validate a specific pathway, synaptic function, in p53-mediated neuroprotection. We then demonstrate that the control of synaptic genes by p53 is conserved in mammals. Collectively, our results implicate synaptic function as a central target in p53-dependent protection from neurodegeneration.",4 samples: tau vs. control,GPL10639,4,Genome binding/occupancy profiling by genome tiling array,25453105
Alzheimers Disease,GSE60911,Increased Human like Alzheimer features in a Novel Mouse Model with Oxidative DNA Repair Dysfunction,"The decline of cognitive function is a feature of normal human aging and is exacerbated in Alzheimer’s disease (AD).  DNA repair declines in brain cells during normal aging and even more so in AD.   Here we show that experimental reduction in levels of the base excision repair enzyme, DNA polymerase ß (Polb) renders neurons vulnerable to age-related dysfunction and degeneration in a mouse model of AD.    Whereas 3xTgAD mice exhibit age-related extracellular amyloid b-peptide (Ab) accumulation and cognitive deficits, but no neuronal death, 3xTg/Polb+/- mice accumulates intracellular Ab and neurons die in the hippocampus and cerebral cortex.  The DNA repair-deficient 3xTgAD mice exhibited increased DNA strand breaks and apoptotic caspase activation with loss of hippocampal volume, and impaired synaptic plasticity and memory retention.  Molecular profiling revealed remarkable similarities in gene expression alterations in brain cells of AD patients and 3xTgAD/Polb+/- mice including multiple abnormalities suggestive of impaired cellular bioenergetics.  Our findings demonstrate that a modest decrement in oxidative DNA damage processing is sufficient to render neurons vulnerable to AD-related pathogenic molecular and cellular alterations that result in the dysfunction and death of neurons, and associated cognitive deficits.","4 mouse strains were used in these experiments,  the 3xTgAD and Pol ß (+/-) mice were bred at the National Institute on Aging (Baltimore, Maryland). The original line 3xTgAD line was generated as described previously (Oddo, et. al 2003) and possess APPswe, PS1M146V, and tauP301L mutations. DNA polymerase beta heterozygous mice, Pol ß (+/-), were crossed with the 3xTgAD mice to generate a 3xTgAD/Pol ß (+/-) mouse. The Wt strain is C57Bl/6. At 20 months of age these mice were euthanized by cervical dislocation, the brain removed from the skull and dissected into regions of interest, the prefrontal cortex was used for the microarray studies.",GPL6885,19,Expression profiling by array,25552414
